Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes
Email, Cindy Lewis,9/12/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.76429,-80.96139,6, Middle Keys - bayside, Burnt Point,Hardbottom , 10-15 kts,85,89,89,partly cloudy,YES,partial bleaching,none,none,paling,none,none,Bleaching ,51-75%,6,5,gorgonians,no data,no data,"bayside hardbottom observations:
Briarium - some pale, others totally white; Pterogorgia - pale,
Antillogorgia anceps - white
not many hard corals: most ""golf ball size"" corals slightly pale but ok (S
rad, Sol, Fav); Mancinea 2 of 2 colonies were completely bleached; totally
bleached sun anemone"
Email,Ken Nedimyer,9/14/2015,no data,Key Largo,FL,Education,Coral Restoration Foundation,24.95183,-80.45940,10,Conch Reef,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching,Bleaching,Bleaching,paling,unknown,unknown,unknown,76-100%,no data,no data,fire coral,no data,no data,
Email,Ken Nedimyer,9/14/2015,no data,Key Largo,FL,Education,Coral Restoration Foundation,24.94250,-80.47383,no data,Little Conch Reef,no data,other/don't know,no data,no data,no data,no data,no data,YES,Bleaching,Bleaching,Bleaching,paling,unknown,unknown,unknown,76-100%,no data,no data,fire coral,no data,no data,
Email,Ken Nedimyer,9/14/2015,no data,Key Largo,FL,Education,Coral Restoration Foundation,25.01468,-80.42249,no data,Key Largo Mid-Channel,no data,Mid-Channel Reef,no data,no data,no data,no data,no data,YES,Bleaching,Bleaching,Bleaching,paling,unknown,unknown,unknown,76-100%,no data,no data,no data,no data,no data,
Email, Kerry Maxwell,9/14/2015,10:00,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.69948,-80.96678,21, Nearshore patch outplant site,no data,Patch Reef, 5-10 kts,no data,no data,no data,partly cloudy,YES,Bleaching, Bleaching,Bleaching,Bleaching, Bleaching, Bleaching,Bleaching ,51-75%,21,15,fire coral,gorgonians,no data,"Not all individuals were bleached, but certainly some of each of the coral
categories were completely bleached. Other were partial bleached or pale. I
assume if we see any that are completely bleached, we count them as bleached
for that coral category. Let me know if that's wrong. Thanks Cory!"
Email, Kerry Maxwell,9/14/2015,14:00,Marathon,FL, Research,Florida Fish and Wildlife (FWC),24.69767,-80.95810,20, Jeff's patch,no data,Patch Reef, 5-10 kts,no data,no data,no data,partly cloudy,YES,partial bleaching, Bleaching,partial bleaching,partial bleaching, Bleaching,unknown,unknown,31-50%,18,20,gorgonians,no data,no data,
Email,Forrest Young,9/15/2015,no data,Marathon,FL,Dive Industry,Dynasty Marine,24.70175,-81.15629,no data,Moser Channel,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,Email sent via Forrest Young…general observations
Email,Forrest Young,9/16/2015,no data,Marathon,FL,Dive Industry,Dynasty Marine,24.79685,-80.86698,no data,Long Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,Email sent via Forrest Young…general observations
In Person,Cory Walter,9/17/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.54205,-81.40790,43,Looe Deep Reef,no data,Deep Reef,5-10 kts,no data,no data,no data,cloudy,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,31-50%,no data,no data,gorgonians,fire coral,palythoa,
In Person,Cory Walter,9/17/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.54526,-81.40793,18,Looe Key SPA,no data,Bank Reef,5-10 kts,no data,no data,no data,cloudy,YES,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,partial bleaching,31-50%,no data,no data,gorgonians,fire coral,palythoa,
Email,Forrest Young,9/17/2015,no data,Marathon,FL,Dive Industry,Dynasty Marine,24.83749,-80.77345,no data,Channel 5,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,Email sent via Forrest Young…general observations
Email, Elizabeth McNamee,9/18/2015,no data,Key Largo,FL,Education,Marine Resources,25.13983,-80.29463,20, Horseshoe Reef, H1/North Ball,Bank Reef, 0-5 kts,81,86,86,clear,YES,Bleaching, Bleaching,paling,paling, Bleaching,unknown,paling,31-50%,15,4,fire coral,gorgonians,palythoa,"The huge patch of A. palmata is paling and bleaching quite extensively. 
There also seems to be a disease (looks like white band) leading to a lot of
algae coverage.  M. complanata is stark white as is many M. alcicornis.  The
P. porites is paling, as is the Siderastreas (purple colonies) and there are
a couple large boulders of different species that appear to be paling, but
not yet bleaching."
Email,Chris Berg,9/18/2015,no data,Big Pine Key,FL, Resident,The Nature Conservancy,24.98200,-80.42167,no data,Snapper Ledge,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,51-75%,no data,no data,no data,no data,no data,
Email,Forrest Young,9/18/2015,no data,Marathon,FL,Dive Industry,Dynasty Marine,24.84257,-80.74919,no data,Channel 2,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,Email sent via Forrest Young…general observations
Email,Forrest Young,9/18/2015,no data,Marathon,FL,Dive Industry,Dynasty Marine,24.84935,-80.75126,no data,Old Channel 2 Bridge Pilings,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,Email sent via Forrest Young…general observations
Email, Cindy Lewis,9/18/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.74550,-80.77892,23,Tenessee Reef,no data,Bank Reef, 10-15 kts,85,84,84,partly cloudy,YES,Bleaching,partial bleaching,Bleaching,Bleaching, Bleaching,none,none,76-100%,23,20,fire coral,no data,no data,"many species of octos totally bleached, other pale, some normal
bleached: D lab, M mean, Agaricia, P por, P ast, A cerv
pale: C nat, D cliv, D strig, M cav,"
Email, Cindy Lewis,9/18/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.75918,-80.80413,21, Middle Keys, Soft Coral patch,Patch Reef, 10-15 kts,85,84,82,partly cloudy,YES,Bleaching,none,Bleaching,Bleaching, Bleaching,none,none,no data,21,15,fire coral,no data,no data,"Additional Comments:
BBD: M cav
Dark Spot: Meandina
dead X muta
bleached: D lab, M mean, P por, Agaricia,
pale: C nat, D stok, D. strig, D cliv, O fav
pale and bleached octos"
Email,Alex Bylesky,9/19/2015,no data,Key West,FL,Education,Florida Keys Community College ,24.45247,-81.88059,no data,Sand Key,no data,Bank Reef,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Alex Bylesky,9/19/2015,no data,Key West,FL,Education,Florida Keys Community College ,24.45350,-81.86000,no data,Rock Key,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,9/19/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.75238,-80.75492,68, Tennessee Reef , Coff PE-TN1,Deep Reef, 10-15 kts,85,84,86,clear,YES,partial bleaching,none,partial bleaching,partial bleaching, Bleaching,none,paling,76-100%,68,55,fire coral,no data,no data,"bleached: Agaricia, P por, M cav, S sid, D strig
pale: M cav, O fav, S sid, Eusmillia
some octocoral bleached: Briarium, Erythropodium, Plexaurella
picnocline at 55' to bottom, top layer noticeably cooler"
Email, Bill Ferrell,9/20/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.70043,-80.89342,28, Pork Fish Reef ,South fo Duck Key,Patch Reef, 0-5 kts,87,86,86,partly cloudy,YES,Bleaching,none,Bleaching,partial bleaching,partial bleaching,none,none,51-75%,28,12,fire coral,no data,no data,
Email,Vanessa Brinkhuis,9/21/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.75270,-80.75780,no data, Tennessee Reef ,Deep,Deep Reef,no data,no data,no data,no data,no data,YES,Bleaching,no data,no data,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,"Species most severely affected were Diploria/Pseudodiploria spp., Eusmilia fastigiata, Porites spp., Scolemia, Orbicella spp., Colpophyllia natans, Meandrina meandrites, Acropora cervicornis and Millepora alcicornis.  Black Band Disease was also observed affecting Diploria/Pseudodiploria spp., Colpophyllia natans.  In addition to stony corals, octocorals were bleaching as well.  Total bleaching was seen in Muricea spp., partial bleaching (top portions of colonies/tips of branches) in Pseudoplexaura spp. and Plexaurella spp., and paling in other genera including Antillogorgia, Muriceopsis, Eunicea and Plexaura.  "
Email,Vanessa Brinkhuis,9/21/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.74500,-80.78120,no data, Tennessee Reef ,no data,Bank Reef,no data,no data,no data,no data,no data,YES,Bleaching,no data,no data,no data,no data,no data,no data,51-75%,no data,no data,no data,no data,no data,
Email, Cindy Lewis,9/21/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.68188,-80.97092,20,Coffins Patch SPA, Coffins Patch Pillars,Patch Reef, 0-5 kts,85,86,86,clear,YES,partial bleaching,partial bleaching,Bleaching,Bleaching, Bleaching,none,none,51-75%,25,20,fire coral,no data,no data,"BBD: D cyl, M cav, C nat, D lab
WP: D cyl"
In Person,Cory Walter,9/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.50393,-81.60381,25,FRRP 1273,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,unknown,paling,paling,unknown,unknown,unknown,31-50%,no data,no data,gorgonians,fire coral,palythoa,
In Person,Cory Walter,9/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52487,-81.57590,13,FRRP 2222,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,unknown,paling,paling, Bleaching,unknown,unknown,11-30%,no data,no data,fire coral,no data,no data,
In Person,Cory Walter,9/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.54079,-81.61189,14,FRRP 2221,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling, Bleaching,unknown,Bleaching ,11-30%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.57800,-81.59109,9,FRRP 1254,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,none,none,none,none,none,1-10%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/22/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.58570,-81.58262,7,Japp Reef,no data,Patch Reef,no data,no data,no data,no data,no data,YES,partial bleaching,paling,partial bleaching,partial bleaching,partial bleaching,unknown,unknown,76-100%,no data,no data,no data,no data,no data,
Email,Robert Etti,9/22/2015,no data,Summerland Key,FL, Resident,Mote Marine Laboratory,24.55756,-81.80842,10,"Pier B, Key West",no data,Patch Reef,no data,no data,no data,no data,no data,YES,Bleaching,no data,Bleaching,no data,no data,no data,no data,76-100%,no data,no data,no data,no data,no data,
Email,Vanessa Brinkhuis,9/22/2015,no data,Marathon,FL,Research,Florida Fish and Wildlife (FWC),24.62310,-81.11050,60,Sombrero Reef SPA,Deep,Deep Reef,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,31-50%,no data,no data,no data,no data,no data, We would estimate the bleaching to be about 25-50% at our Sombrero Deep site at 50'.  Same species as below affected but the species most affected were Agaricia spp and Porites spp. Also saw H.cuculata bleaching. Octos were paling but not near as bad as at Tennessee.
Email, Cindy Lewis,9/22/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.99173,-80.40860,23,Pickles Reef, Pickle 3,Bank Reef, 5-10 kts,85,86,86,partly cloudy,YES,partial bleaching,paling,partial bleaching,partial bleaching,partial bleaching,none,none,31-50%,25,15,no data,no data,no data,WP: D cyl
In Person,Cory Walter,9/23/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.56023,-81.50127,25,Wonderland,no data,Mid-Channel Reef,no data,no data,no data,no data,no data,YES,paling,paling,partial bleaching,paling,paling,paling,Bleaching ,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,9/24/2015,9:00,Summerland Key,FL, Research,Mote Marine Laboratory,24.54341,-81.41194,80,Looe Deep Reef,no data,Deep Reef,5-10 kts,no data,no data,no data,cloudy,YES,partial bleaching,Bleaching,Bleaching,partial bleaching, Bleaching,paling,Bleaching ,31-50%,no data,no data,gorgonians,fire coral,no data,BB Disease
In Person,Cory Walter,9/24/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.55320,-81.43758,25,Acer 24,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,Bleaching,Bleaching,partial bleaching, Bleaching,none,Bleaching ,51-75%,no data,no data,gorgonians,fire coral,palythoa,BB Disease
In Person,Cory Walter,9/24/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.55473,-81.42780,20,West of Looe Nursery,no data,other/don't know,5-10 kts,no data,no data,no data,cloudy,YES,partial bleaching,Bleaching,Bleaching,paling, Bleaching,unknown,Bleaching ,51-75%,no data,no data,gorgonians,fire coral,palythoa,BB Disease
In Person,Cory Walter,9/24/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.56304,-81.40029,28,Looe Nursery Reef,no data,other/don't know,5-10 kts,no data,no data,no data,cloudy,YES,partial bleaching,Bleaching,Bleaching,partial bleaching, Bleaching,unknown,partial bleaching,51-75%,no data,no data,gorgonians,fire coral,palythoa,BB Disease
Email, Mark Chiappone,9/24/2015,12:00,Miami,FL, Research, NSU-OC,24.94663,-80.46930,18,Little Conch Reef, Fore reef,Hardbottom , 5-10 kts,87,84,85,mostly cloudy,YES,Bleaching, Bleaching,paling,partial bleaching,partial bleaching,none,paling,51-75%,18,16,fire coral,no data,no data,"Surveys were conducted on the shallow side of Little Conch Reef from
~1000-1400 hrs. on 24SEP2015. Natural and outplanted Acropora cervicornis
colonies were mostly 100% bleached. Fire corals (both M. alcicornis and M.
complanata) were mostly 100% bleached. Gorgonians, especially Muricea spp.,
were paling or partially bleached."
Email,Eric Riesch,9/26/2015,no data,Summerland Key,FL,Education,Fish ID,24.98200,-80.42167,30,Snapper Ledge,no data,other/don't know,no data,no data,80,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Facebook,Kelli O'Donnell,9/28/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.95008,-80.45352,60,Aquarius Reef,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,paling,paling,paling,no data,no data,no data,no data,no data,no data,
In Person, Cory Walter,9/29/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.54605,-81.40478,22,Looe Key SPA,buoy 9,Bank Reef, 0-5 kts,no data,83,83,no data,YES,paling,partial bleaching,paling,paling, Bleaching,unknown,paling,11-30%,no data,no data,fire coral,gorgonians,no data,
In Person, Cory Walter,9/29/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.55290,-81.38015,no data, Big Pine Ledge,no data,other/don't know, 0-5 kts,no data,no data,no data,no data,YES,paling, Bleaching,paling,paling, Bleaching,unknown,none,31-50%,no data,no data,fire coral,palythoa,gorgonians,BBD
Email,Janice Duquesnel,9/30/2015,no data,Key Largo,FL,Research,FPS Pennekamp,24.54490,-81.81154,no data,Ft. Taylor,no data,Patch Reef,no data,no data,no data,no data,no data,YES,partial bleaching,unknown,Bleaching,Bleaching,unknown,unknown,unknown,no data,no data,no data,no data,no data,no data,
Email,Meaghan Johnson,9/30/2015,no data,Big Pine Key,FL,Research,The Nature Conservancy,24.69566,-81.03806,no data,Middle Keys,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Meaghan Johnson,9/30/2015,no data,Big Pine Key,FL,Research,The Nature Conservancy,24.70469,-80.93920,no data,Middle Keys,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,31-50%,no data,no data,no data,no data,no data,
In Person, Cory Walter,9/30/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52646,-81.50530,no data,American Shoal,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,paling, Bleaching,paling,paling, Bleaching,unknown,paling,11-30%,no data,no data,fire coral,gorgonians,no data,
In Person, Cory Walter,9/30/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52666,-81.50195,no data,American Shoal,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,paling, Bleaching,paling,paling, Bleaching,unknown,paling,11-30%,no data,no data,fire coral,gorgonians,no data,
In Person, Cory Walter,9/30/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52784,-81.49673,no data,American Shoal,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,paling, Bleaching,paling,partial bleaching, Bleaching,unknown,paling,31-50%,no data,no data,fire coral,gorgonians,no data,
In Person, Cory Walter,9/30/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52999,-81.48595,no data,American Shoal,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling, Bleaching,unknown,partial bleaching,31-50%,no data,no data,gorgonians,no data,no data,BBD
Email,Janice Duquesnel,10/1/2015,no data,Key Largo,FL,Research,FPS Pennekamp,25.07108,-80.39080,no data,Mosquito Banks,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,unknown,paling,Bleaching,unknown,unknown,unknown,no data,no data,no data,no data,no data,no data,
Facebook,Kelli O'Donnell,10/5/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.44929,-82.07423,60,Cosgrove Shoal,no data,other/don't know,no data,no data,no data,no data,no data,YES,partial bleaching,paling,paling,paling,paling,paling,paling,no data,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/6/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.53869,-81.45722,no data,Dave's Ledge,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling, Bleaching,no data,no data,31-50%,no data,no data,gorgonians,no data,no data,Palythoa looking better
In Person, Cory Walter,10/6/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.54257,-81.44461,no data,Dave's Ledge,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,partial bleaching, Bleaching,partial bleaching,paling, Bleaching,no data,no data,31-50%,no data,no data,gorgonians,no data,no data,
In Person, Cory Walter,10/6/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.52835,-81.49541,no data,Dave's Ledge,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling, Bleaching,no data,no data,31-50%,no data,no data,no data,no data,no data,
Facebook,Kelli O'Donnell,10/6/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.61006,-82.94866,60,"The Maze, DTNP",no data,Deep Reef,no data,no data,no data,no data,no data,YES,partial bleaching,paling,paling,paling,paling,paling,paling,no data,no data,no data,no data,no data,no data,
Facebook,Kelli O'Donnell,10/6/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.72148,-82.84220,60,Mid Santa Reef,no data,Deep Reef,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,paling,paling,paling,no data,no data,no data,no data,no data,no data,
Facebook,Kelli O'Donnell,10/6/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.70069,-82.76617,50,K-Buoy,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,paling,paling,paling,no data,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/7/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.93864,-80.49139,no data,FRRP 1206,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,31-50%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/7/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.96379,-80.45067,no data,FRRP 1200,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/7/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.97276,-80.43676,no data,FRRP 1214,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/7/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.97909,-80.43772,no data,FRRP 2151,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/7/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.97814,-80.42583,no data,FRRP 2137,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/7/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.95556,-80.49231,no data,FRRP 2123,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,31-50%,no data,no data,no data,no data,no data,
Facebook,Kelli O'Donnell,10/7/2015,no data,Summerland Key,FL, Resident,Lower Keys Resident,24.44369,-82.59107,50,East Wall,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,paling,paling,paling,paling,paling,paling,no data,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/8/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,24.97632,-80.42089,no data,FRRP 2166,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/8/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,25.00902,-80.38911,no data,FRRP Strat #1,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/8/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,25.00865,-80.37713,no data,FRRP 2143,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
In Person, Cory Walter,10/8/2015,no data,Summerland Key,FL, Research,Mote Marine Laboratory,25.01854,-80.36717,no data,FRRP 1191,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,partial bleaching,partial bleaching,paling, Bleaching,unknown,paling,11-30%,no data,no data,no data,no data,no data,
Email, Jessica Dockery,10/9/2015,10:00,Key Largo,FL,Education,Marine Resources,25.13822,-80.28880,22, North North Dry Rocks, Middle Buoy,Bank Reef, 0-5 kts,84,85,no data,partly cloudy,YES,partial bleaching, Bleaching,Bleaching,Bleaching,none,none,none,11-30%,18,10,fire coral,palythoa,gorgonians,
Email, Cindy Lewis,10/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.45207,-81.87690,25,Sand Key SPA,no data,Bank Reef, 0-5 kts,88,86,86,clear,YES,partial bleaching, Bleaching,partial bleaching,partial bleaching, Bleaching,none,paling,31-50%,25,20,fire coral,gorgonians,no data," bleached: D cyl, Agaricia, P por, D lab, Millepora
partial bleach: C nat, O fav
BBD: O fav, C nat, M cav
WP: D cyl"
Email, Cindy Lewis,10/9/2015,no data,Long Key,FL, Research, Keys Marine Lab,24.47388,-81.74365,25, Lower Keys, Marker 32,Bank Reef, 0-5 kts,88,84,84,clear,YES,partial bleaching, Bleaching,partial bleaching,partial bleaching, Bleaching,none,paling,31-50%,25,20,fire coral,no data,no data,"Additional Comments:
bleach: D cyl, P por, D lab, Agaricia, Millepora, Briareum, Plexaurella,
Muricia
partial bleach: O fav, C nat
pale: M cav, M mean, Erythropodium
dark spot: M mean"
In Person,Cory Walter,10/12/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.55100,-81.37925,no data, Hill's Research Site,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/14/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.55245,-81.38409,22, Site A Outplant,no data,Patch Reef,no data,no data,no data,no data,no data,YES,partial bleaching,no data,no data,no data,no data,no data,no data,31-50%,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/14/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.59565,-81.37162,23,Munson Reef,no data,Mid-Channel Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
Email,Erich Bartels,10/15/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.56023,-81.50127,22,Wonderland,no data,Mid-Channel Reef,no data,no data,no data,no data,no data,YES,paling,no data,no data,no data,no data,no data,no data,11-30%,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/24/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.53821,-81.44156,70,Lions Den Area,no data,Deep Reef,no data,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling,partial bleaching,paling,unknown,11-30%,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/24/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.54024,-81.44880,22,Reef Line west of Looe,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling,partial bleaching,paling,unknown,11-30%,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/24/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.55245,-81.38409,20,Site A Outplant,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling,partial bleaching,paling,unknown,1-10%,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/24/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.56742,-81.38781,25,Looe Key ROA,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling,partial bleaching,paling,unknown,1-10%,no data,no data,no data,no data,no data,
In Person,Cory Walter,10/24/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.56883,-81.38113,25,Patch E. of Looe,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling,partial bleaching,paling,unknown,1-10%,no data,no data,no data,no data,no data,
In Person,Cory Walter,11/2/2015,no data,Summerland Key,FL,Research,Mote Marine Laboratory,24.55290,-81.38015,25,Site P Ouptlant,no data,other/don't know,no data,no data,no data,no data,no data,YES,paling, Bleaching,partial bleaching,paling,partial bleaching,paling,unknown,11-30%,no data,no data,no data,no data,no data,
